mpg,weight,displacement,horsepower,cylinders,acceleration,model_year,origin,name,,,,,,,,,
29,1867,68,49,4,19.5,73,europe,fiat 128,,,,,,,,,
24,2158,116,75,4,15.5,73,europe,opel manta,,,,,,,,,
20,2582,114,91,4,14,73,europe,audi 100ls,,,,,,,,,
19,2868,121,112,4,15.5,73,europe,volvo 144ea,,,,,,,,,
15,3399,318,150,8,11,73,usa,dodge dart custom,,,,,,,,,
24,2660,121,110,4,14,73,europe,saab 99le,,,,,,,,,
20,2807,156,122,6,13.5,73,japan,toyota mark ii,,,,,,,,,
11,3664,350,180,8,11,73,usa,oldsmobile omega,,,,,,,,,
20,3102,198,95,6,16.5,74,usa,plymouth duster,,,,,,,,,
21,2875,200,,6,17,74,usa,ford maverick,,,,,,,,,
19,2901,232,100,6,16,74,usa,amc hornet,,,,,,,,,
15,3336,250,100,6,17,74,usa,chevrolet nova,,,,,,,,,
31,1950,79,67,4,19,74,japan,datsun b210,,,,,,,,,
26,2451,122,80,4,16.5,74,usa,ford pinto,,,,,,,,,
32,1836,71,65,4,21,74,japan,toyota corolla 1200,,,,,,,,,
25,2542,140,75,4,17,74,usa,chevrolet vega,,,,,,,,,
16,3781,250,100,6,17,74,usa,chevrolet chevelle malibu classic,,,,,,,,,
16,3632,258,110,6,18,74,usa,amc matador,,,,,,,,,
18,3613,225,105,6,16.5,74,usa,plymouth satellite sebring,,,,,,,,,
16,4141,302,140,8,14,74,usa,ford gran torino,,,,,,,,,
13,4699,350,150,8,14.5,74,usa,buick century luxus (sw),,,,,,,,,
14,4457,318,150,8,13.5,74,usa,dodge coronet custom (sw),,,,,,,,,
14,4638,302,140,8,16,74,usa,ford gran torino (sw),,,,,,,,,
14,4257,304,150,8,15.5,74,usa,amc matador (sw),,,,,,,,,
29,2219,98,83,4,16.5,74,europe,audi fox,,,,,,,,,
26,1963,79,67,4,15.5,74,europe,volkswagen dasher,,,,,,,,,
26,2300,97,78,4,14.5,74,europe,opel manta,,,,,,,,,
31,1649,76,52,4,16.5,74,japan,toyota corona,,,,,,,,,
32,2003,83,61,4,19,74,japan,datsun 710,,,,,,,,,
28,2125,90,75,4,14.5,74,usa,dodge colt,,,,,,,,,
24,2108,90,75,4,15.5,74,europe,fiat 128,,,,,,,,,
26,2246,116,75,4,14,74,europe,fiat 124 tc,,,,,,,,,
24,2489,120,97,4,15,74,japan,honda civic,,,,,,,,,
26,2391,108,93,4,15.5,74,japan,subaru,,,,,,,,,
31,2000,79,67,4,16,74,europe,fiat x1.9,,,,,,,,,
19,3264,225,95,6,16,75,usa,plymouth valiant custom,,,,,,,,,
18,3459,250,105,6,16,75,usa,chevrolet nova,,,,,,,,,
15,3432,250,72,6,21,75,usa,mercury monarch,,,,,,,,,
15,3158,250,72,6,19.5,75,usa,ford maverick,,,,,,,,,
16,4668,400,170,8,11.5,75,usa,pontiac catalina,,,,,,,,,
15,4440,350,145,8,14,75,usa,chevrolet bel air,,,,,,,,,
16,4498,318,150,8,14.5,75,usa,plymouth grand fury,,,,,,,,,
14,4657,351,148,8,13.5,75,usa,ford ltd,,,,,,,,,
17,3907,231,110,6,21,75,usa,buick century,,,,,,,,,
16,3897,250,105,6,18.5,75,usa,chevroelt chevelle malibu,,,,,,,,,
15,3730,258,110,6,19,75,usa,amc matador,,,,,,,,,
18,3785,225,95,6,19,75,usa,plymouth fury,,,,,,,,,
21,3039,231,110,6,15,75,usa,buick skyhawk,,,,,,,,,
20,3221,262,110,8,13.5,75,usa,chevrolet monza 2+2,,,,,,,,,
13,3169,302,129,8,12,75,usa,ford mustang ii,,,,,,,,,
29,2171,97,75,4,16,75,japan,toyota corolla,,,,,,,,,
23,2639,140,83,4,17,75,usa,ford pinto,,,,,,,,,
20,2914,232,100,6,16,75,usa,amc gremlin,,,,,,,,,
23,2592,140,78,4,18.5,75,usa,pontiac astro,,,,,,,,,
24,2702,134,96,4,13.5,75,japan,toyota corona,,,,,,,,,
25,2223,90,71,4,16.5,75,europe,volkswagen dasher,,,,,,,,,
24,2545,119,97,4,17,75,japan,datsun 710,,,,,,,,,
18,2984,171,97,6,14.5,75,usa,ford pinto,,,,,,,,,
29,1937,90,70,4,14,75,europe,volkswagen rabbit,,,,,,,,,
19,3211,232,90,6,17,75,usa,amc pacer,,,,,,,,,
23,2694,115,95,4,15,75,europe,audi 100ls,,,,,,,,,
23,2957,120,88,4,17,75,europe,peugeot 504,,,,,,,,,
22,2945,121,98,4,14.5,75,europe,volvo 244dl,,,,,,,,,
25,2671,121,115,4,13.5,75,europe,saab 99le,,,,,,,,,
33,1795,91,53,4,17.5,75,japan,honda civic cvcc,,,,,,,,,
28,2464,107,86,4,15.5,76,europe,fiat 131,,,,,,,,,
25,2220,116,81,4,16.9,76,europe,opel 1900,,,,,,,,,
25,2572,140,92,4,14.9,76,usa,capri ii,,,,,,,,,
26,2255,98,79,4,17.7,76,usa,dodge colt,,,,,,,,,
27,2202,101,83,4,15.3,76,europe,renault 12tl,,,,,,,,,
17.5,4215,305,140,8,13,76,usa,chevrolet chevelle malibu classic,,,,,,,,,
16,4190,318,150,8,13,76,usa,dodge coronet brougham,,,,,,,,,
15.5,3962,304,120,8,13.9,76,usa,amc matador,,,,,,,,,
14.5,4215,351,152,8,12.8,76,usa,ford gran torino,,,,,,,,,
22,3233,225,100,6,15.4,76,usa,plymouth valiant,,,,,,,,,
22,3353,250,105,6,14.5,76,usa,chevrolet nova,,,,,,,,,
24,3012,200,81,6,17.6,76,usa,ford maverick,,,,,,,,,
22.5,3085,232,90,6,17.6,76,usa,amc hornet,,,,,,,,,
29,2035,85,52,4,22.2,76,usa,chevrolet chevette,,,,,,,,,
24.5,2164,98,60,4,22.1,76,usa,chevrolet woody,,,,,,,,,
29,1937,90,70,4,14.2,76,europe,vw rabbit,,,,,,,,,
33,1795,91,53,4,17.4,76,japan,honda civic,,,,,,,,,
20,3651,225,100,6,17.7,76,usa,dodge aspen se,,,,,,,,,
18,3574,250,78,6,21,76,usa,ford granada ghia,,,,,,,,,
18.5,3645,250,110,6,16.2,76,usa,pontiac ventura sj,,,,,,,,,
17.5,3193,258,95,6,17.8,76,usa,amc pacer d/l,,,,,,,,,
29.5,1825,97,71,4,12.2,76,europe,volkswagen rabbit,,,,,,,,,
32,1990,85,70,4,17,76,japan,datsun b-210,,,,,,,,,
28,2155,97,75,4,16.4,76,japan,toyota corolla,,,,,,,,,
26.5,2565,140,72,4,13.6,76,usa,ford pinto,,,,,,,,,
20,3150,130,102,4,15.7,76,europe,volvo 245,,,,,,,,,
13,3940,318,150,8,13.2,76,usa,plymouth volare premier v8,,,,,,,,,
19,3270,120,88,4,21.9,76,europe,peugeot 504,,,,,,,,,
19,2930,156,108,6,15.5,76,japan,toyota mark ii,,,,,,,,,
16.5,3820,168,120,6,16.7,76,europe,mercedes-benz 280s,,,,,,,,,
16.5,4380,350,180,8,12.1,76,usa,cadillac seville,,,,,,,,,
13,4055,350,145,8,12,76,usa,chevy c10,,,,,,,,,
13,3870,302,130,8,15,76,usa,ford f108,,,,,,,,,
13,3755,318,150,8,14,76,usa,dodge d100,,,,,,,,,
31.5,2045,98,68,4,18.5,77,japan,honda accord cvcc,,,,,,,,,
30,2155,111,80,4,14.8,77,usa,buick opel isuzu deluxe,,,,,,,,,
36,1825,79,58,4,18.6,77,europe,renault 5 gtl,,,,,,,,,
25.5,2300,122,96,4,15.5,77,usa,plymouth arrow gs,,,,,,,,,
33.5,1945,85,70,4,16.8,77,japan,datsun f-10 hatchback,,,,,,,,,
17.5,3880,305,145,8,12.5,77,usa,chevrolet caprice classic,,,,,,,,,
17,4060,260,110,8,19,77,usa,oldsmobile cutlass supreme,,,,,,,,,
15.5,4140,318,145,8,13.7,77,usa,dodge monaco brougham,,,,,,,,,
15,4295,302,130,8,14.9,77,usa,mercury cougar brougham,,,,,,,,,
17.5,3520,250,110,6,16.4,77,usa,chevrolet concours,,,,,,,,,
20.5,3425,231,105,6,16.9,77,usa,buick skylark,,,,,,,,,
19,3630,225,100,6,17.7,77,usa,plymouth volare custom,,,,,,,,,
18.5,3525,250,98,6,19,77,usa,ford granada,,,,,,,,,
16,4220,400,180,8,11.1,77,usa,pontiac grand prix lj,,,,,,,,,
15.5,4165,350,170,8,11.4,77,usa,chevrolet monte carlo landau,,,,,,,,,
15.5,4325,400,190,8,12.2,77,usa,chrysler cordoba,,,,,,,,,
16,4335,351,149,8,14.5,77,usa,ford thunderbird,,,,,,,,,
29,1940,97,78,4,14.5,77,europe,volkswagen rabbit custom,,,,,,,,,
24.5,2740,151,88,4,16,77,usa,pontiac sunbird coupe,,,,,,,,,
26,2265,97,75,4,18.2,77,japan,toyota corolla liftback,,,,,,,,,
25.5,2755,140,89,4,15.8,77,usa,ford mustang ii 2+2,,,,,,,,,
30.5,2051,98,63,4,17,77,usa,chevrolet chevette,,,,,,,,,
33.5,2075,98,83,4,15.9,77,usa,dodge colt m/m,,,,,,,,,
30,1985,97,67,4,16.4,77,japan,subaru dl,,,,,,,,,
30.5,2190,97,78,4,14.1,77,europe,volkswagen dasher,,,,,,,,,
22,2815,146,97,6,14.5,77,japan,datsun 810,,,,,,,,,
21.5,2600,121,110,4,12.8,77,europe,bmw 320i,,,,,,,,,
21.5,2720,80,110,3,13.5,77,japan,mazda rx-4,,,,,,,,,
43.1,1985,90,48,4,21.5,78,europe,volkswagen rabbit custom diesel,,,,,,,,,
36.1,1800,98,66,4,14.4,78,usa,ford fiesta,,,,,,,,,
32.8,1985,78,52,4,19.4,78,japan,mazda glc deluxe,,,,,,,,,
39.4,2070,85,70,4,18.6,78,japan,datsun b210 gx,,,,,,,,,
36.1,1800,91,60,4,16.4,78,japan,honda civic cvcc,,,,,,,,,
19.9,3365,260,110,8,15.5,78,usa,oldsmobile cutlass salon brougham,,,,,,,,,
19.4,3735,318,140,8,13.2,78,usa,dodge diplomat,,,,,,,,,
20.2,3570,302,139,8,12.8,78,usa,mercury monarch ghia,,,,,,,,,
19.2,3535,231,105,6,19.2,78,usa,pontiac phoenix lj,,,,,,,,,
20.5,3155,200,95,6,18.2,78,usa,chevrolet malibu,,,,,,,,,
20.2,2965,200,85,6,15.8,78,usa,ford fairmont (auto),,,,,,,,,
25.1,2720,140,88,4,15.4,78,usa,ford fairmont (man),,,,,,,,,
20.5,3430,225,100,6,17.2,78,usa,plymouth volare,,,,,,,,,
19.4,3210,232,90,6,17.2,78,usa,amc concord,,,,,,,,,
20.6,3380,231,105,6,15.8,78,usa,buick century special,,,,,,,,,
20.8,3070,200,85,6,16.7,78,usa,mercury zephyr,,,,,,,,,
18.6,3620,225,110,6,18.7,78,usa,dodge aspen,,,,,,,,,
18.1,3410,258,120,6,15.1,78,usa,amc concord d/l,,,,,,,,,
19.2,3425,305,145,8,13.2,78,usa,chevrolet monte carlo landau,,,,,,,,,
17.7,3445,231,165,6,13.4,78,usa,buick regal sport coupe (turbo),,,,,,,,,
18.1,3205,302,139,8,11.2,78,usa,ford futura,,,,,,,,,
17.5,4080,318,140,8,13.7,78,usa,dodge magnum xe,,,,,,,,,
30,2155,98,68,4,16.5,78,usa,chevrolet chevette,,,,,,,,,
27.5,2560,134,95,4,14.2,78,japan,toyota corona,,,,,,,,,
27.2,2300,119,97,4,14.7,78,japan,datsun 510,,,,,,,,,
30.9,2230,105,75,4,14.5,78,usa,dodge omni,,,,,,,,,
21.1,2515,134,95,4,14.8,78,japan,toyota celica gt liftback,,,,,,,,,
23.2,2745,156,105,4,16.7,78,usa,plymouth sapporo,,,,,,,,,
23.8,2855,151,85,4,17.6,78,usa,oldsmobile starfire sx,,,,,,,,,
23.9,2405,119,97,4,14.9,78,japan,datsun 200-sx,,,,,,,,,
20.3,2830,131,103,5,15.9,78,europe,audi 5000,,,,,,,,,
17,3140,163,125,6,13.6,78,europe,volvo 264gl,,,,,,,,,
21.6,2795,121,115,4,15.7,78,europe,saab 99gle,,,,,,,,,
16.2,3410,163,133,6,15.8,78,europe,peugeot 604sl,,,,,,,,,
31.5,1990,89,71,4,14.9,78,europe,volkswagen scirocco,,,,,,,,,
29.5,2135,98,68,4,16.6,78,japan,honda accord lx,,,,,,,,,
21.5,3245,231,115,6,15.4,79,usa,pontiac lemans v6,,,,,,,,,
19.8,2990,200,85,6,18.2,79,usa,mercury zephyr 6,,,,,,,,,
22.3,2890,140,88,4,17.3,79,usa,ford fairmont 4,,,,,,,,,
20.2,3265,232,90,6,18.2,79,usa,amc concord dl 6,,,,,,,,,
20.6,3360,225,110,6,16.6,79,usa,dodge aspen 6,,,,,,,,,
17,3840,305,130,8,15.4,79,usa,chevrolet caprice classic,,,,,,,,,
17.6,3725,302,129,8,13.4,79,usa,ford ltd landau,,,,,,,,,
16.5,3955,351,138,8,13.2,79,usa,mercury grand marquis,,,,,,,,,
18.2,3830,318,135,8,15.2,79,usa,dodge st. regis,,,,,,,,,
16.9,4360,350,155,8,14.9,79,usa,buick estate wagon (sw),,,,,,,,,
15.5,4054,351,142,8,14.3,79,usa,ford country squire (sw),,,,,,,,,
19.2,3605,267,125,8,15,79,usa,chevrolet malibu classic (sw),,,,,,,,,
18.5,3940,360,150,8,13,79,usa,chrysler lebaron town @ country (sw),,,,,,,,,
31.9,1925,89,71,4,14,79,europe,vw rabbit custom,,,,,,,,,
34.1,1975,86,65,4,15.2,79,japan,maxda glc deluxe,,,,,,,,,
35.7,1915,98,80,4,14.4,79,usa,dodge colt hatchback custom,,,,,,,,,
27.4,2670,121,80,4,15,79,usa,amc spirit dl,,,,,,,,,
25.4,3530,183,77,5,20.1,79,europe,mercedes benz 300d,,,,,,,,,
23,3900,350,125,8,17.4,79,usa,cadillac eldorado,,,,,,,,,
27.2,3190,141,71,4,24.8,79,europe,peugeot 504,,,,,,,,,
23.9,3420,260,90,8,22.2,79,usa,oldsmobile cutlass salon brougham,,,,,,,,,
34.2,2200,105,70,4,13.2,79,usa,plymouth horizon,,,,,,,,,
34.5,2150,105,70,4,14.9,79,usa,plymouth horizon tc3,,,,,,,,,
31.8,2020,85,65,4,19.2,79,japan,datsun 210,,,,,,,,,
37.3,2130,91,69,4,14.7,79,europe,fiat strada custom,,,,,,,,,
28.4,2670,151,90,4,16,79,usa,buick skylark limited,,,,,,,,,
28.8,2595,173,115,6,11.3,79,usa,chevrolet citation,,,,,,,,,
26.8,2700,173,115,6,12.9,79,usa,oldsmobile omega brougham,,,,,,,,,
33.5,2556,151,90,4,13.2,79,usa,pontiac phoenix,,,,,,,,,
41.5,2144,98,76,4,14.7,80,europe,vw rabbit,,,,,,,,,
38.1,1968,89,60,4,18.8,80,japan,toyota corolla tercel,,,,,,,,,
32.1,2120,98,70,4,15.5,80,usa,chevrolet chevette,,,,,,,,,
37.2,2019,86,65,4,16.4,80,japan,datsun 310,,,,,,,,,
28,2678,151,90,4,16.5,80,usa,chevrolet citation,,,,,,,,,
26.4,2870,140,88,4,18.1,80,usa,ford fairmont,,,,,,,,,
24.3,3003,151,90,4,20.1,80,usa,amc concord,,,,,,,,,
19.1,3381,225,90,6,18.7,80,usa,dodge aspen,,,,,,,,,
34.3,2188,97,78,4,15.8,80,europe,audi 4000,,,,,,,,,
29.8,2711,134,90,4,15.5,80,japan,toyota corona liftback,,,,,,,,,
31.3,2542,120,75,4,17.5,80,japan,mazda 626,,,,,,,,,
37,2434,119,92,4,15,80,japan,datsun 510 hatchback,,,,,,,,,
32.2,2265,108,75,4,15.2,80,japan,toyota corolla,,,,,,,,,
46.6,2110,86,65,4,17.9,80,japan,mazda glc,,,,,,,,,
27.9,2800,156,105,4,14.4,80,usa,dodge colt,,,,,,,,,
40.8,2110,85,65,4,19.2,80,japan,datsun 210,,,,,,,,,
44.3,2085,90,48,4,21.7,80,europe,vw rabbit c (diesel),,,,,,,,,
43.4,2335,90,48,4,23.7,80,europe,vw dasher (diesel),,,,,,,,,
36.4,2950,121,67,5,19.9,80,europe,audi 5000s (diesel),,,,,,,,,
30,3250,146,67,4,21.8,80,europe,mercedes-benz 240d,,,,,,,,,
44.6,1850,91,67,4,13.8,80,japan,honda civic 1500 gl,,,,,,,,,
40.9,1835,85,,4,17.3,80,europe,renault lecar deluxe,,,,,,,,,
33.8,2145,97,67,4,18,80,japan,subaru dl,,,,,,,,,
29.8,1845,89,62,4,15.3,80,europe,vokswagen rabbit,,,,,,,,,
32.7,2910,168,132,6,11.4,80,japan,datsun 280-zx,,,,,,,,,
23.7,2420,70,100,3,12.5,80,japan,mazda rx-7 gs,,,,,,,,,
35,2500,122,88,4,15.1,80,europe,triumph tr7 coupe,,,,,,,,,
23.6,2905,140,,4,14.3,80,usa,ford mustang cobra,,,,,,,,,
32.4,2290,107,72,4,17,80,japan,honda accord,,,,,,,,,
27.2,2490,135,84,4,15.7,81,usa,plymouth reliant,,,,,,,,,
26.6,2635,151,84,4,16.4,81,usa,buick skylark,,,,,,,,,
25.8,2620,156,92,4,14.4,81,usa,dodge aries wagon (sw),,,,,,,,,
23.5,2725,173,110,6,12.6,81,usa,chevrolet citation,,,,,,,,,
30,2385,135,84,4,12.9,81,usa,plymouth reliant,,,,,,,,,
39.1,1755,79,58,4,16.9,81,japan,toyota starlet,,,,,,,,,
39,1875,86,64,4,16.4,81,usa,plymouth champ,,,,,,,,,
35.1,1760,81,60,4,16.1,81,japan,honda civic 1300,,,,,,,,,
32.3,2065,97,67,4,17.8,81,japan,subaru,,,,,,,,,
37,1975,85,65,4,19.4,81,japan,datsun 210 mpg,,,,,,,,,
37.7,2050,89,62,4,17.3,81,japan,toyota tercel,,,,,,,,,
34.1,1985,91,68,4,16,81,japan,mazda glc 4,,,,,,,,,
34.7,2215,105,63,4,14.9,81,usa,plymouth horizon 4,,,,,,,,,
34.4,2045,98,65,4,16.2,81,usa,ford escort 4w,,,,,,,,,
29.9,2380,98,65,4,20.7,81,usa,ford escort 2h,,,,,,,,,
33,2190,105,74,4,14.2,81,europe,volkswagen jetta,,,,,,,,,
34.5,2320,100,,4,15.8,81,europe,renault 18i,,,,,,,,,
33.7,2210,107,75,4,14.4,81,japan,honda prelude,,,,,,,,,
32.4,2350,108,75,4,16.8,81,japan,toyota corolla,,,,,,,,,
32.9,2615,119,100,4,14.8,81,japan,datsun 200sx,,,,,,,,,
31.6,2635,120,74,4,18.3,81,japan,mazda 626,,,,,,,,,
28.1,3230,141,80,4,20.4,81,europe,peugeot 505s turbo diesel,,,,,,,,,
30.7,3160,145,76,6,19.6,81,europe,volvo diesel,,,,,,,,,
25.4,2900,168,116,6,12.6,81,japan,toyota cressida,,,,,,,,,
24.2,2930,146,120,6,13.8,81,japan,datsun 810 maxima,,,,,,,,,
22.4,3415,231,110,6,15.8,81,usa,buick century,,,,,,,,,
26.6,3725,350,105,8,19,81,usa,oldsmobile cutlass ls,,,,,,,,,
20.2,3060,200,88,6,17.1,81,usa,ford granada gl,,,,,,,,,
17.6,3465,225,85,6,16.6,81,usa,chrysler lebaron salon,,,,,,,,,
28,2605,112,88,4,19.6,82,usa,chevrolet cavalier,,,,,,,,,
27,2640,112,88,4,18.6,82,usa,chevrolet cavalier wagon,,,,,,,,,
